# Lightweight IP-to-Country CSV
# Format: start_ip,end_ip,country_code
# This is a minimal sample. The app primarily uses ip-api.com for geolocation.
# For offline-first geolocation, replace with a full MaxMind GeoLite2 CSV export.
1.0.0.0,1.0.0.255,AU
1.1.1.0,1.1.1.255,AU
8.8.4.0,8.8.4.255,US
8.8.8.0,8.8.8.255,US
9.9.9.0,9.9.9.255,US
13.32.0.0,13.35.255.255,US
17.0.0.0,17.255.255.255,US
20.0.0.0,20.255.255.255,US
23.0.0.0,23.15.255.255,US
31.13.24.0,31.13.31.255,US
34.0.0.0,34.127.255.255,US
35.186.0.0,35.199.255.255,US
40.74.0.0,40.125.255.255,US
52.0.0.0,52.255.255.255,US
54.0.0.0,54.255.255.255,US
64.233.160.0,64.233.191.255,US
66.102.0.0,66.102.15.255,US
72.14.192.0,72.14.255.255,US
74.125.0.0,74.125.255.255,US
104.16.0.0,104.31.255.255,US
142.250.0.0,142.251.255.255,US
172.217.0.0,172.217.255.255,US
173.194.0.0,173.194.255.255,US
185.60.216.0,185.60.219.255,IE
192.30.252.0,192.30.255.255,US
199.232.0.0,199.232.255.255,US
203.0.0.0,203.0.0.255,AU
204.79.195.0,204.79.197.255,US
208.67.220.0,208.67.222.255,US
216.58.192.0,216.58.223.255,US
